2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.CODIGO as CODIGO16_2_,
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.DESCRICAO as DESCRICAO16_2_,
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.NOME as NOME16_2_ 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)     from
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_NF_ENTRADA nfeentrada0_ 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)     inner join
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_CODIGO_SEFAZ codigosefa1_ 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)             on nfeentrada0_.ID_STATUS_SEFAZ=codigosefa1_.ID 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)     inner join
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_CODIGO_SEFAZ codigosefa2_ 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)             on nfeentrada0_.ID_STATUS_XML=codigosefa2_.ID 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)     where
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_EMISSAO_NF=? 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         and nfeentrada0_.ID_PARAMETRO_EMPRESA=2 
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)     order by
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.NUMERO_DOCUMENTO_FISCAL desc
2013-02-20 08:23:38,799 INFO  [br.com.pwc.nfe.entrada.core.negocio.NfeEntradaBean] (http-0.0.0.0-8080-3) Listagem da entidade NFe Entrada obtida com sucesso 
2013-02-20 08:23:43,861 INFO  [org.hibernate.validator.engine.resolver.DefaultTraversableResolver] (http-0.0.0.0-8080-3) Instantiated an instance of org.hibernate.validator.engine.resolver.JPATraversableResolver.
2013-02-20 08:23:43,885 INFO  [br.com.pwc.nfe.entrada.core.negocio.NfeEntradaBean] (http-0.0.0.0-8080-3) Filtrando dados da entidade NFe Entrada por FiltroNFeEntrada [listaStatusArquivo = [], listaStatusSefaz = [], listaUF = [], listaSerie = [], listaCnpjEmitente = [], listaNumeroDocumento = null, dataEmissao = RangeDataEmissaoVO [dataInicial = 20/02/2013, dataFinal = 20/02/2013], idParametroEmpresaFilial = 13, maxResult = 100]
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3) Hibernate: 
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)     select
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)         * 
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)     from
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)         ( select
